RA;Ano_avaliacao;Nome_aluno;Idade;Fase;Turma;Instituicao_ensino;INDE;Pedra_atual;Pedra 20;Pedra 21;IDA;IEG;IAA;IPS;IPV;IAN;Nota_mat;Nota_port;Nota_ing;Atingiu PV;Defasagem;Fase ideal;IPP;Atingiu_PV_calculado;Delta_INDE;Delta_IDA;Delta_IEG;Delta_IAA;Delta_IPS;Delta_IPP;Delta_IPV;Delta_IAN;Evolucao_INDE;Evolucao_IDA;Evolucao_IEG;Evolucao_IAA;Evolucao_IPS;Evolucao_IPP;Evolucao_IPV;Evolucao_IAN;Persona_aluno
RA-1;2022;Aluno-1;19;Fase 7;A;Escola Pública;5.783;Quartzo;Ametista;Ametista;4.0;4.1;8.3;5.6;7.278;5.0;2.7;3.5;6.0;Não;-1;Fase 8 (Universitários);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-1;2023;Aluno-1;20;Fase 8;8E;Privada - Parcerias com Bolsa 100%;;Sem registro;Ametista;Ametista;;;;;;10.0;;;;Não avaliado;0;Fase 8 (Universitários);;Sem dado;;;;;;;;5.0;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Avanço;Dados incompletos para perfil
RA-1;2024;Aluno-1;21;Fase 8;8E;Privada - Parcerias com Bolsa 100%;;Sem registro;Ametista;Ametista;;0.0;;;;10.0;;;;Não avaliado;0;Fase 8 (Universitários);;Sem dado;;;;;;;;0.0;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Neutra;Dados incompletos para perfil
RA-10;2022;Aluno-10;18;Fase 7;A;Escola Pública;5.784;Quartzo;Pré-ingresso;Ágata;4.1;5.2;8.3;5.0;7.056;5.0;3.3;2.6;6.4;Não;-1;Fase 8 (Universitários);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-100;2022;Aluno-100;13;Fase 4;A;Rede Decisão;7.618;Ametista;Ametista;Topázio;7.6;7.8;8.8;5.0;7.25;10.0;7.0;7.8;8.1;Não;1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-1000;2023;Aluno-1000;8;Alfa;ALFA U - G2/G3;Escola Pública;7.9162;Ametista;Pré-ingresso;Pré-ingresso;7.0;9.4;8.5;3.77;8.92;10.0;7.0;7.0;;Não avaliado;0;ALFA (1° e 2° ano);6.25;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-1000;2024;Aluno-1000;9;Fase 1;1N;Escola Pública;8.364790909100002;Topázio;Pré-ingresso;Pré-ingresso;7.75;9.5454545455;9.002;6.26;7.835;10.0;7.5;8.0;;Não avaliado;0;Fase 1 (3° e 4° ano);8.125;Não;0.44859090910000177;0.75;0.1454545454999998;0.5020000000000007;2.4899999999999998;1.875;-1.085;0.0;Avanço;Avanço;Avanço;Avanço;Avanço;Avanço;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-1001;2023;Aluno-1001;9;Alfa;ALFA U - G2/G3;Escola Pública;8.1162;Topázio;Pré-ingresso;Pré-ingresso;7.8;9.1;9.0;7.52;9.17;5.0;8.3;7.3;;Não avaliado;-1;Fase 1 (3° e 4° ano);7.5;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-1001;2024;Aluno-1001;10;Fase 1;1N;Escola Pública;7.7964318841;Ametista;Pré-ingresso;Pré-ingresso;7.75;9.347826087;7.502;7.51;7.92;5.0;6.5;9.0;;Não avaliado;-1;Fase 2 (5° e 6° ano);7.916666667;Não;-0.31976811589999876;-0.04999999999999982;0.24782608699999997;-1.4980000000000002;-0.009999999999999787;0.4166666670000003;-1.25;0.0;Recuo;Recuo;Avanço;Recuo;Recuo;Avanço;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-1002;2023;Aluno-1002;9;Alfa;ALFA U - G2/G3;Escola Pública;7.9012;Ametista;Pré-ingresso;Pré-ingresso;7.0;9.7;9.0;7.52;8.92;5.0;7.0;7.0;;Não avaliado;-1;Fase 1 (3° e 4° ano);6.25;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-1002;2024;Aluno-1002;10;Alfa;ALFA N - G2/G3;Escola Pública;7.967866666700001;Ametista;Pré-ingresso;Pré-ingresso;9.25;7.833333333500001;9.002;7.51;8.25;5.0;10.0;8.5;;Não avaliado;-1;Fase 1 (3° e 4° ano);7.5;Não;0.06666666670000065;2.25;-1.8666666664999987;0.002000000000000668;-0.009999999999999787;1.25;-0.6699999999999999;0.0;Avanço;Avanço;Recuo;Avanço;Recuo;Avanço;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-1003;2023;Aluno-1003;8;Alfa;ALFA V - G0/G1;Escola Pública;7.6522;Ametista;Pré-ingresso;Pré-ingresso;4.0;8.5;9.0;7.52;8.75;10.0;8.0;0.0;;Não avaliado;0;ALFA (1° e 2° ano);7.5;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-1003;2024;Aluno-1003;9;Alfa;ALFA J - G2/G3;Escola Pública;7.627588888900001;Ametista;Pré-ingresso;Pré-ingresso;8.25;8.6944444445;8.002;7.51;7.5;5.0;10.0;6.5;;Não avaliado;-1;Fase 1 (3° e 4° ano);6.875;Não;-0.024611111099998695;4.25;0.1944444445000002;-0.9979999999999993;-0.009999999999999787;-0.625;-1.25;-5.0;Recuo;Avanço;Avanço;Recuo;Recuo;Recuo;Recuo;Recuo;Alto desempenho (estrelas resilientes)
RA-1004;2023;Aluno-1004;8;Alfa;ALFA V - G0/G1;Escola Pública;8.3137;Topázio;Pré-ingresso;Pré-ingresso;7.9;9.6;9.0;7.52;7.42;10.0;6.5;9.2;;Não avaliado;0;ALFA (1° e 2° ano);6.875;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-1004;2024;Aluno-1004;9;Alfa;ALFA J - G2/G3;Escola Pública;7.801200000000001;Ametista;Pré-ingresso;Pré-ingresso;7.5;9.25;9.502;7.51;7.5;5.0;7.5;7.5;;Não avaliado;-1;Fase 1 (3° e 4° ano);7.5;Não;-0.5125000000000002;-0.40000000000000036;-0.34999999999999964;0.5020000000000007;-0.009999999999999787;0.625;0.08000000000000007;-5.0;Recuo;Recuo;Recuo;Avanço;Recuo;Avanço;Avanço;Recuo;Alto desempenho (estrelas resilientes)
RA-1005;2023;Aluno-1005;8;Alfa;ALFA V - G0/G1;Escola Pública;8.4252;Topázio;Pré-ingresso;Pré-ingresso;8.8;7.9;9.5;7.52;8.165;10.0;8.4;9.2;;Não avaliado;0;ALFA (1° e 2° ano);7.5;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-1006;2023;Aluno-1006;8;Alfa;ALFA V - G0/G1;Escola Pública;8.5922;Topázio;Pré-ingresso;Pré-ingresso;8.7;9.3;9.0;7.52;8.0;10.0;8.7;8.6;;Não avaliado;0;ALFA (1° e 2° ano);7.5;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-1006;2024;Aluno-1006;9;Alfa;ALFA J - G2/G3;Escola Pública;7.040088888900001;Ametista;Pré-ingresso;Pré-ingresso;5.0;8.4444444445;8.502;7.51;7.5;5.0;5.0;5.0;;Não avaliado;-1;Fase 1 (3° e 4° ano);7.5;Não;-1.5521111110999994;-3.6999999999999993;-0.8555555555000005;-0.49799999999999933;-0.009999999999999787;0.0;-0.5;-5.0;Recuo;Recuo;Recuo;Recuo;Recuo;Neutra;Recuo;Recuo;Alerta acadêmico (desfocados)
RA-1007;2023;Aluno-1007;8;Alfa;ALFA V - G0/G1;Escola Pública;8.0782;Topázio;Pré-ingresso;Pré-ingresso;8.3;7.4;9.0;7.52;7.68;10.0;8.1;8.5;;Não avaliado;0;ALFA (1° e 2° ano);7.5;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-1008;2023;Aluno-1008;8;Alfa;ALFA V - G0/G1;Escola Pública;8.13595;Topázio;Pré-ingresso;Pré-ingresso;8.4;8.6;9.0;7.52;7.5;10.0;7.5;9.2;;Não avaliado;0;ALFA (1° e 2° ano);5.9375;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-1008;2024;Aluno-1008;9;Alfa;ALFA I - G2/G3;Escola Pública;6.8667414438000005;Ágata;Pré-ingresso;Pré-ingresso;7.0;6.483957219;7.002;7.51;7.5;5.0;6.5;7.5;;Não avaliado;-1;Fase 1 (3° e 4° ano);7.1875;Não;-1.2692085561999988;-1.4000000000000004;-2.116042781;-1.9980000000000002;-0.009999999999999787;1.25;0.0;-5.0;Recuo;Recuo;Recuo;Recuo;Recuo;Avanço;Neutra;Recuo;Alerta acadêmico (desfocados)
RA-1009;2023;Aluno-1009;8;Alfa;ALFA Y - G0/G1;Escola Pública;7.245;Ametista;Pré-ingresso;Pré-ingresso;8.8;9.0;0.0;3.77;7.84;10.0;8.3;9.2;;Não avaliado;0;ALFA (1° e 2° ano);7.5;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Crise de autopercepção (invisíveis)
RA-1009;2024;Aluno-1009;9;Alfa;ALFA E - G2/G3;Escola Pública;6.395389393900001;Ágata;Pré-ingresso;Pré-ingresso;7.5;6.8863636365000005;8.002;2.51;6.553333333;5.0;10.0;5.0;;Não avaliado;-1;Fase 1 (3° e 4° ano);6.5625;Não;-0.8496106060999988;-1.3000000000000007;-2.1136363634999995;8.002;-1.2600000000000002;-0.9375;-1.2866666669999995;-5.0;Recuo;Recuo;Recuo;Avanço;Recuo;Recuo;Recuo;Recuo;Esforçados em risco emocional
RA-101;2022;Aluno-101;15;Fase 4;A;Escola Pública;7.305;Ametista;Pré-ingresso;Ametista;7.6;8.3;7.9;7.5;6.833;5.0;7.2;6.5;9.2;Não;-1;Fase 5 (1º EM);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-1010;2023;Aluno-1010;8;Alfa;ALFA Y - G0/G1;Escola Pública;8.70645;Topázio;Pré-ingresso;Pré-ingresso;9.4;10.0;9.5;3.77;8.59;10.0;9.0;9.8;;Não avaliado;0;ALFA (1° e 2° ano);7.8125;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-1011;2023;Aluno-1011;7;Alfa;ALFA Y - G0/G1;Escola Pública;7.33095;Ametista;Pré-ingresso;Pré-ingresso;5.2;8.6;9.5;3.77;7.675;10.0;5.5;4.8;;Não avaliado;0;ALFA (1° e 2° ano);7.1875;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-1012;2023;Aluno-1012;8;Alfa;ALFA Y - G0/G1;Escola Pública;7.96495;Ametista;Pré-ingresso;Pré-ingresso;6.6;9.9;10.0;3.77;7.845;10.0;7.0;6.2;;Não avaliado;0;ALFA (1° e 2° ano);7.1875;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-1012;2024;Aluno-1012;9;Alfa;ALFA C - G0/G1;Escola Pública;8.057128571400002;Topázio;Pré-ingresso;Pré-ingresso;9.75;9.523809524;9.502;2.51;8.443333333;5.0;10.0;9.5;;Não avaliado;-1;Fase 1 (3° e 4° ano);8.125;Sim;0.09217857140000163;3.1500000000000004;-0.37619047599999966;-0.49799999999999933;-1.2600000000000002;0.9375;0.5983333330000002;-5.0;Avanço;Avanço;Recuo;Recuo;Recuo;Avanço;Avanço;Recuo;Esforçados em risco emocional
RA-1013;2023;Aluno-1013;7;Alfa;ALFA Y - G0/G1;Escola Pública;7.6237;Ametista;Pré-ingresso;Pré-ingresso;8.3;9.6;9.0;4.39;5.76;10.0;7.0;9.5;;Não avaliado;0;ALFA (1° e 2° ano);5.625;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-1013;2024;Aluno-1013;8;Alfa;ALFA E - G2/G3;Escola Pública;5.7839559808;Quartzo;Pré-ingresso;Pré-ingresso;7.75;5.6937799039999994;9.002;2.51;4.72;5.0;8.0;7.5;;Não avaliado;-1;Fase 1 (3° e 4° ano);5.0;Não;-1.8397440192000003;-0.5500000000000007;-3.906220096;0.002000000000000668;-1.88;-0.625;-1.04;-5.0;Recuo;Recuo;Recuo;Avanço;Recuo;Recuo;Recuo;Recuo;Esforçados em risco emocional
RA-1014;2023;Aluno-1014;7;Alfa;ALFA Y - G0/G1;Escola Pública;8.2582;Topázio;Pré-ingresso;Pré-ingresso;8.2;9.7;9.0;3.77;8.255;10.0;7.7;8.7;;Não avaliado;0;ALFA (1° e 2° ano);7.5;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-1014;2024;Aluno-1014;8;Alfa;ALFA E - G2/G3;Escola Pública;6.315972727300001;Ágata;Pré-ingresso;Pré-ingresso;5.25;7.8863636365000005;8.502;2.51;7.0;5.0;6.5;4.0;;Não avaliado;-1;Fase 1 (3° e 4° ano);6.875;Não;-1.9422272726999994;-2.9499999999999993;-1.8136363634999988;-0.49799999999999933;-1.2600000000000002;-0.625;-1.2550000000000008;-5.0;Recuo;Recuo;Recuo;Recuo;Recuo;Recuo;Recuo;Recuo;Esforçados em risco emocional
RA-1015;2023;Aluno-1015;10;Fase 1;1A;Escola Pública;7.538908333;Ametista;Pré-ingresso;Pré-ingresso;6.3;9.3;10.0;6.27;7.786666667;5.0;5.0;7.6;;Não avaliado;-1;Fase 2 (5° e 6° ano);7.34375;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-1015;2024;Aluno-1015;11;Fase 2;2B;Escola Pública;6.643252381000002;Ágata;Pré-ingresso;Pré-ingresso;4.0;7.8214285715;7.918;7.51;5.66;10.0;2.0;6.0;;Não avaliado;0;Fase 2 (5° e 6° ano);6.041666667;Não;-0.8956559519999985;-2.3;-1.4785714285000005;-2.082;1.2400000000000002;-1.3020833329999997;-2.1266666670000003;5.0;Recuo;Recuo;Recuo;Recuo;Avanço;Recuo;Recuo;Avanço;Alerta acadêmico (desfocados)
RA-1016;2023;Aluno-1016;10;Fase 1;1A;Escola Pública;7.762575;Ametista;Pré-ingresso;Pré-ingresso;6.7;9.5;10.0;7.52;7.73;5.0;5.8;7.5;;Não avaliado;-1;Fase 2 (5° e 6° ano);7.34375;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-1017;2023;Aluno-1017;11;Fase 1;1A;Escola Pública;6.505333333;Ágata;Pré-ingresso;Pré-ingresso;7.7;8.0;0.0;5.02;8.116666667;5.0;7.0;8.3;;Não avaliado;-1;Fase 2 (5° e 6° ano);7.5;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Crise de autopercepção (invisíveis)
RA-1017;2024;Aluno-1017;12;Fase 2;2C;Escola Pública;7.345521428500001;Ametista;Pré-ingresso;Pré-ingresso;5.0;7.8095238095;9.502;6.26;7.443333333;10.0;2.5;7.5;;Não avaliado;0;Fase 2 (5° e 6° ano);7.1875;Não;0.8401880955000003;-2.7;-0.1904761905000001;9.502;1.2400000000000002;-0.3125;-0.6733333340000005;5.0;Avanço;Recuo;Recuo;Avanço;Avanço;Recuo;Recuo;Avanço;Alerta acadêmico (desfocados)
RA-1018;2023;Aluno-1018;9;Fase 1;1A;Escola Pública;6.824;Ágata;Pré-ingresso;Pré-ingresso;6.3;8.5;0.0;5.02;8.06;10.0;5.8;6.8;;Não avaliado;0;Fase 1 (3° e 4° ano);7.5;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Crise de autopercepção (invisíveis)
RA-1018;2024;Aluno-1018;10;Fase 1;1A;Escola Pública;7.7054045454;Ametista;Pré-ingresso;Pré-ingresso;8.25;7.727272727;8.502;6.26;8.45;5.0;8.5;8.0;;Não avaliado;-1;Fase 2 (5° e 6° ano);8.4375;Sim;0.8814045454000006;1.9500000000000002;-0.7727272730000001;8.502;1.2400000000000002;0.9375;0.3899999999999988;-5.0;Avanço;Avanço;Recuo;Avanço;Avanço;Avanço;Avanço;Recuo;Alto desempenho (estrelas resilientes)
RA-1019;2023;Aluno-1019;8;Fase 1;1A;Escola Pública;7.177033333;Ametista;Pré-ingresso;Pré-ingresso;4.3;9.1;7.5;5.02;7.836666667;10.0;0.5;8.0;;Não avaliado;1;ALFA (1° e 2° ano);6.875;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-1019;2024;Aluno-1019;9;Fase 1;1A;Escola Pública;8.692255194900001;Topázio;Pré-ingresso;Pré-ingresso;8.75;9.3073593075;9.502;6.26;8.616666667;10.0;9.5;8.0;;Não avaliado;0;Fase 1 (3° e 4° ano);7.8125;Sim;1.5152218619000015;4.45;0.20735930750000087;2.0020000000000007;1.2400000000000002;0.9375;0.7800000000000002;0.0;Avanço;Avanço;Avanço;Avanço;Avanço;Avanço;Avanço;Neutra;Alto desempenho (estrelas resilientes)
RA-102;2022;Aluno-102;14;Fase 4;A;Escola Pública;6.922;Ágata;Ametista;Ametista;5.7;7.7;6.7;6.9;6.0;10.0;4.7;6.8;5.5;Não;0;Fase 4 (9º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-1020;2023;Aluno-1020;9;Fase 1;1A;Escola Pública;7.612283333;Ametista;Pré-ingresso;Pré-ingresso;6.1;9.1;10.0;2.52;8.056666667;10.0;4.3;7.8;;Não avaliado;0;Fase 1 (3° e 4° ano);7.1875;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-1020;2024;Aluno-1020;10;Fase 1;1A;Escola Pública;8.9544954545;Topázio;Pré-ingresso;Pré-ingresso;9.0;9.7727272725;9.002;6.88;8.84;10.0;10.0;8.0;;Não avaliado;0;Fase 1 (3° e 4° ano);8.4375;Sim;1.3422121215000002;2.9000000000000004;0.6727272724999995;-0.9979999999999993;4.359999999999999;1.25;0.7833333329999999;0.0;Avanço;Avanço;Avanço;Recuo;Avanço;Avanço;Avanço;Neutra;Alto desempenho (estrelas resilientes)
RA-1021;2023;Aluno-1021;9;Fase 1;1A;Escola Pública;6.964616667;Ágata;Pré-ingresso;Pré-ingresso;3.3;9.2;8.0;3.77;7.893333333;10.0;2.5;4.0;;Não avaliado;0;Fase 1 (3° e 4° ano);7.1875;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-1021;2024;Aluno-1021;10;Fase 1;1A;Escola Pública;8.0985863636;Topázio;Pré-ingresso;Pré-ingresso;8.0;9.318181818;9.502;7.51;7.95;5.0;9.0;7.0;;Não avaliado;-1;Fase 2 (5° e 6° ano);8.4375;Não;1.1339696966000012;4.7;0.11818181800000005;1.5020000000000007;3.7399999999999998;1.25;0.056666667000000004;-5.0;Avanço;Avanço;Avanço;Avanço;Avanço;Avanço;Avanço;Recuo;Alto desempenho (estrelas resilientes)
RA-1022;2023;Aluno-1022;9;Fase 1;1A;Escola Pública;7.164616667;Ametista;Pré-ingresso;Pré-ingresso;4.7;8.5;8.5;3.77;7.893333333;10.0;4.7;4.7;;Não avaliado;0;Fase 1 (3° e 4° ano);7.1875;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-1022;2024;Aluno-1022;10;Fase 1;1A;Escola Pública;7.613169697000002;Ametista;Pré-ingresso;Pré-ingresso;6.5;9.318181818;9.502;6.26;8.116666667;5.0;5.5;7.5;;Não avaliado;-1;Fase 2 (5° e 6° ano);7.5;Não;0.448553030000002;1.7999999999999998;0.8181818179999993;1.0020000000000007;2.4899999999999998;0.3125;0.22333333400000033;-5.0;Avanço;Avanço;Avanço;Avanço;Avanço;Avanço;Avanço;Recuo;Alto desempenho (estrelas resilientes)
RA-1023;2023;Aluno-1023;9;Fase 1;1A;Escola Pública;9.1342;Topázio;Pré-ingresso;Pré-ingresso;9.1;10.0;10.0;6.27;9.06;10.0;8.5;9.7;;Não avaliado;0;Fase 1 (3° e 4° ano);8.75;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-1023;2024;Aluno-1023;10;Fase 2;2B;Escola Pública;9.498580952300001;Topázio;Pré-ingresso;Pré-ingresso;9.5;9.511904762;9.502;9.375;9.563333333;10.0;9.0;10.0;;Não avaliado;0;Fase 2 (5° e 6° ano);8.958333333;Sim;0.3643809523000012;0.40000000000000036;-0.48809523799999965;-0.49799999999999933;3.1050000000000004;0.20833333300000056;0.5033333329999987;0.0;Avanço;Avanço;Recuo;Recuo;Avanço;Avanço;Avanço;Neutra;Alto desempenho (estrelas resilientes)
RA-1024;2023;Aluno-1024;10;Fase 1;1B;Escola Pública;7.788875;Ametista;Pré-ingresso;Pré-ingresso;9.8;10.0;0.0;6.27;8.95;5.0;10.0;9.5;;Não avaliado;-1;Fase 2 (5° e 6° ano);9.21875;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Crise de autopercepção (invisíveis)
RA-1024;2024;Aluno-1024;11;Fase 1;1B;Escola Pública;8.6516166666;Topázio;Pré-ingresso;Pré-ingresso;10.0;10.0;8.002;7.51;8.783333333;5.0;10.0;10.0;;Não avaliado;-1;Fase 2 (5° e 6° ano);8.4375;Sim;0.8627416666000007;0.1999999999999993;0.0;8.002;1.2400000000000002;-0.78125;-0.16666666699999944;0.0;Avanço;Avanço;Neutra;Avanço;Avanço;Recuo;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-1025;2023;Aluno-1025;9;Fase 1;1B;Escola Pública;8.215158333;Topázio;Pré-ingresso;Pré-ingresso;7.5;8.9;8.5;7.52;7.836666667;10.0;7.5;7.5;;Não avaliado;0;Fase 1 (3° e 4° ano);7.65625;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-1025;2024;Aluno-1025;10;Fase 1;1A;Escola Pública;7.897071212;Ametista;Pré-ingresso;Pré-ingresso;9.0;7.727272727;9.002;7.51;7.783333333;5.0;10.0;8.0;;Não avaliado;-1;Fase 2 (5° e 6° ano);8.4375;Não;-0.3180871209999996;1.5;-1.1727272730000005;0.5020000000000007;-0.009999999999999787;0.78125;-0.0533333340000004;-5.0;Recuo;Avanço;Recuo;Avanço;Recuo;Avanço;Recuo;Recuo;Alto desempenho (estrelas resilientes)
RA-1026;2023;Aluno-1026;14;Fase 1;1B;Escola Pública;6.494825;Ágata;Pré-ingresso;Pré-ingresso;3.2;9.8;8.5;7.52;7.06;2.5;2.3;4.0;;Não avaliado;-3;Fase 4 (9° ano);6.40625;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-1027;2023;Aluno-1027;10;Fase 1;1B;Escola Pública;7.748866667;Ametista;Pré-ingresso;Pré-ingresso;6.0;9.7;9.5;7.52;8.333333333;5.0;4.2;7.7;;Não avaliado;-1;Fase 2 (5° e 6° ano);7.5;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-1027;2024;Aluno-1027;11;Fase 2;2B;Escola Pública;8.220866666700001;Topázio;Pré-ingresso;Pré-ingresso;5.25;10.0;9.502;7.51;8.39;10.0;6.0;4.5;;Não avaliado;0;Fase 2 (5° e 6° ano);7.916666667;Não;0.4719999997000013;-0.75;0.3000000000000007;0.002000000000000668;-0.009999999999999787;0.4166666670000003;0.056666667000000004;5.0;Avanço;Recuo;Avanço;Avanço;Recuo;Avanço;Avanço;Avanço;Alto desempenho (estrelas resilientes)
RA-1028;2023;Aluno-1028;11;Fase 1;1B;Escola Pública;6.415708333;Ágata;Pré-ingresso;Pré-ingresso;5.0;9.2;0.0;7.52;7.946666667;5.0;5.0;5.0;;Não avaliado;-1;Fase 2 (5° e 6° ano);7.34375;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Crise de autopercepção (invisíveis)
RA-1028;2024;Aluno-1028;12;Fase 1;1B;Escola Pública;7.1404338602;Ametista;Pré-ingresso;Pré-ingresso;7.5;7.055335968;8.002;5.63;8.393333333;5.0;6.0;9.0;;Não avaliado;-2;Fase 3 (7° e 8° ano);6.875;Não;0.7247255271999995;2.5;-2.1446640319999997;8.002;-1.8899999999999997;-0.46875;0.4466666659999996;0.0;Avanço;Avanço;Recuo;Avanço;Recuo;Recuo;Avanço;Neutra;Alto desempenho (estrelas resilientes)
