RA;Ano_avaliacao;Nome_aluno;Idade;Fase;Turma;Instituicao_ensino;INDE;Pedra_atual;Pedra 20;Pedra 21;IDA;IEG;IAA;IPS;IPV;IAN;Nota_mat;Nota_port;Nota_ing;Atingiu PV;Defasagem;Fase ideal;IPP;Atingiu_PV_calculado;Delta_INDE;Delta_IDA;Delta_IEG;Delta_IAA;Delta_IPS;Delta_IPP;Delta_IPV;Delta_IAN;Evolucao_INDE;Evolucao_IDA;Evolucao_IEG;Evolucao_IAA;Evolucao_IPS;Evolucao_IPP;Evolucao_IPV;Evolucao_IAN;Persona_aluno
RA-1644;2024;Aluno-1644;21;Fase 9;9;Bolsista Universitário Formado;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
RA-1645;2024;Aluno-1645;23;Fase 9;9;Escola Privada;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
RA-1646;2024;Aluno-1646;21;Fase 9;9;Bolsista Universitário Formado;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
RA-1647;2024;Aluno-1647;22;Fase 9;9;Escola Privada;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
RA-1648;2024;Aluno-1648;22;Fase 9;9;Bolsista Universitário Formado;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
RA-1649;2024;Aluno-1649;23;Fase 9;9;Escola Privada;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
RA-165;2022;Aluno-165;14;Fase 4;L;Rede Decisão;8.063;Topázio;Ametista;Ametista;7.6;9.8;7.1;5.6;7.5;10.0;5.3;7.8;9.7;Não;0;Fase 4 (9º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-165;2023;Aluno-165;15;Fase 5;5M;Privada - Programa de Apadrinhamento;7.583433333;Ametista;Ametista;Ametista;7.3;9.2;6.7;2.52;7.795;10.0;7.3;6.2;8.3;Não avaliado;0;Fase 5 (1° EM);8.125;Não;-0.4795666670000003;-0.2999999999999998;-0.6000000000000014;-0.39999999999999947;-3.0799999999999996;;0.29499999999999993;0.0;Recuo;Recuo;Recuo;Recuo;Recuo;Sem dados;Avanço;Neutra;Esforçados em risco emocional
RA-165;2024;Aluno-165;16;Fase 5;5L;Privada - Programa de Apadrinhamento;8.4627502436;Topázio;Ametista;Ametista;8.5;9.431042884999998;7.5;7.51;7.893333333;10.0;10.0;7.5;8.0;Não avaliado;0;Fase 5 (1° EM);7.96875;Não;0.8793169106000001;1.2000000000000002;0.23104288499999903;0.7999999999999998;4.99;-0.15625;0.09833333300000024;0.0;Avanço;Avanço;Avanço;Avanço;Avanço;Recuo;Avanço;Neutra;Alto desempenho (estrelas resilientes)
RA-1650;2024;Aluno-1650;22;Fase 9;9;Escola Privada;;Sem registro;Pré-ingresso;Pré-ingresso;;0.0;;;;10.0;;;;Não avaliado;1;Fase 8 (Universitários);;Sem dado;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Dados incompletos para perfil
